Hydrogen - H
Helium - He
Lithium - Li
Beryllium - Be
Boron - B
Carbon - C
Nitrogen - N
Oxygen - O
Fluorine - F
Neon - Ne
Sodium - Na
Magnesium - Mg
Aluminium - Al
Silicon - Si
Phosphorus - P
Sulfur - S
Chlorine - Cl
Argon - Ar
Potassium - K
Calcium - Ca
Scandium - Sc
Titanium - Ti
Vanadium - V
Chromium - Cr
Manganese - Mn
Iron - Fe
Cobalt - Co
Nickel - Ni
Copper - Cu
Zinc - Zn
Gallium - Ga
Germanium - Ge
Arsenic - As
Selenium - Se
Bromine - Br
Krypton - Kr
Rubidium - Rb
Strontium - Sr
Yttrium - Y
Zirconium - Zr
Niobium - Nb
Molybdenum - Mo
Technetium - Tc
Ruthenium - Ru
Rhodium - Rh
Palladium - Pd
Silver - Ag
Cadmium - Cd
Indium - In
Tin - Sn
Antimony - Sb
Tellurium - Te
Iodine - I
Xenon - Xe
Caesium - Cs
Barium - Ba
Lanthanum - La
Cerium - Ce
Praseodymium - Pr
Neodymium - Nd
Promethium - Pm
Samarium - Sm
Europium - Eu
Gadolinium - Gd
Terbium - Tb
Dysprosium - Dy
Holmium - Ho
Erbium - Er
Thulium - Tm
Ytterbium - Yb
Lutetium - Lu
Hafnium - Hf
Tantalum - Ta
Tungsten - W
Rhenium - Re
Osmium - Os
Iridium - Ir
Platinum - Pt
Gold - Au
Mercury - Hg
Thallium - Tl
Lead - Pb
Bismuth - Bi
Polonium - Po
Astatine - At
Radon - Rn
Francium - Fr
Radium - Ra
Actinium - Ac
Thorium - Th
Protactinium - Pa
Uranium - U
Neptunium - Np
Plutonium - Pu
Americium - Am
Curium - Cm
Berkelium - Bk
Californium - Cf
Einsteinium - Es
Fermium - Fm
Mendelevium - Md
Nobelium - No
Lawrencium - Lr
Rutherfordium - Rf
Dubnium - Db
Seaborgium - Sg
Bohrium - Bh
Hassium - Hs
Meitnerium - Mt
Darmstadtium - Ds
Roentgenium - Rg
Copernicium - Cn
Nihonium - Nh
Flerovium - Fl
Moscovium - Mc
Livermorium - Lv
Tennessine - Ts
Oganesson - Og
Red Mercury - ??
Adamant / Adamantine
Adamantite
Adamantium
Administratium
Administrontium
Aether
Antidermis
Arenak
Arsonium
Atium
Australium
Bavarium
Bolognium / Bolonium
Bombastium
Bureaucratium
Byzanium
Carbonadium
Cavorite
Celestial Bronze
Ceratanium
Chlorophyte
Cobalt Thorium G
Computronium
Chronoton
Collapsium
Corrodium
Dagal
Dalekanium
Dark Metal
Dilithium
Divinium (E115)
Doudecimates
Duranium
Durium
Dust
Etherium
Element Zero (0-Ez)
Element 99
Elerium-115
Energon
Feminum
Frinkonium
Galine
Harbenite
Hedonium
Ice-nine
Imperial Gold
Inerton
Inertron
Inoson
Jerktonium
Jumbonium
Katchin
Kryptonite
Kyber crystal
Lerasium
Metal X (Rovolon)
Meteorillium
Mithril / Mythril
Nanite
Naqahdah
Netheranium
Netherite
Nth Metal
Octiron
Orichalcum
Phostlite
Polydenum
Polydichloric euthimal
Protodermis
Quadium
Radium X
Rearden Metal
Red mercury
Redstone
Regalite
Runite
Sanite
Saronite
SCP-148
Scrith
Seastone
Silverstone
Space Titanium
Stygian Iron
Supermanium
Taydenite
Thiotimoline
Thirium
Timonium
Transformium
Tritanium
Truthitonium
Ultron
Unobtanium
Upsidaisium
Uridium
Uru
Verterium cortenide
Vibranium
Vizorium
Wishalloy
Xirdalium
Xithricite
Z-Crystals
