Homer Simpson
Marge Simpson
Bart Simpson
Lisa Simpson
Maggie Simpson
Abraham Simpson
Santa's Little Helper
Snowball II/V
Apu Nahasapeemapetilon
Barney Gumble
Bleeding Gums Murphy[B]
Chief Clancy Wiggum
Dewey Largo
Eddie
Edna Krabappel
Itchy & Scratchy
Janey Powell
Jasper Beardly
Kent Brockman
Krusty The Clown
Lenny Leonard
Lou
Martin Prince
Marvin Monroe[C]
Milhouse Van Houten
Moe Szyslak
Mr. Burns
Ned Flanders
Otto Mann
Patty Bouvier
Ralph Wiggum
Reverend Timothy Lovejoy
Selma Bouvier
Seymour Skinner
Sherri & Terri
Sideshow Bob
Todd Flanders
Waylon Smithers
Carl Carlson
Dolph Starbeam
Dr. Julius Hibbert
Dr. Nick Riviera
Elizabeth Hoover
Helen Lovejoy
Herman Hermann
Jacqueline Bouvier
Jimbo Jones
Kearney Zzyzwicz
Lionel Hutz
Maude Flanders[D]
Mayor Joe Quimby
Nelson Muntz
Princess Kashmir
Professor Jonathan Frink
Rainier Wolfcastle
Rod Flanders
Sideshow Mel
Troy McClure
Wise Guy
Agnes Skinner
Akira Kurosawa
Blue-Haired Lawyer
Comic Book Guy
Groundskeeper Willie
Judge Roy Snyder
Kang & Kodos
Luann Van Houten
Mr. Teeny
Snake Jailbird
Arnie Pye
Bernice Hibbert
Bumblebee Man
Drederick Tatum
Hans Moleman
Kirk Van Houten
Lunchlady Doris
Old Jewish Man
Ruth Powers
Sea Captain
Squeaky-Voiced Teen
Baby Gerald
Cletus Spuckler
Luigi Risotto
Miss Springfield
Superintendent Gary Chalmers
Alice Glick
Database
The Rich Texan
Sarah Wiggum
Üter Zörker
Brandine Spuckler
Disco Stu
Fat Tony
Louie
Mona Simpson
Legs
Gil Gunderson
Manjula Nahasapeemapetilon
Lindsey Naegle
Mrs. Vanderbilt
Artie Ziff
Duffman
Gloria Jailbird
The Yes Guy
Cookie Kwan
Johnny Tightlips
Rabbi Hyman Krustofsky
Crazy Cat Lady
Jessica Lovejoy
Booberella
Capital City Goofball
Leprechaun
Ling Bouvier
Julio
Orenthal James
Mrs. Muntz
Chazz Busby
Roger Meyers, Jr.
Shauna Chalmers
Kumiko Albertson
Surly Duff
